id,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,average_token_length,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity
0,2.833213344,6.742880636,0.426886792,0.52004717,0.338443396,8.289037098,0.482215957,0.00677736,0.024764151,0.02004717,0.552631579,0.447368421,0.291411565,0.05,0.7,-0.409313725,-0.05,-1,0,0
1,2.197224577,6.561030666,0.521923621,0.534653465,0.417256011,8.106514516,0.495110306,0.100880162,0.032531825,0.018387553,0.638888889,0.361111111,0.365758046,0.0625,0.8,-0.23974359,-0.05,-0.666666667,0.1,0
2,2.079441542,7.150701458,0.443921569,0.549803922,0.381960784,8.728426092,0.405107455,0.056257803,0.032156863,0.018039216,0.640625,0.359375,0.32398374,0.033333333,0.6,-0.27397343,-0.05,-0.7,0,0
3,2.397895273,6.33150185,0.444839858,0.565836299,0.352313167,7.864804003,0.262624585,0.017497231,0.021352313,0.033807829,0.387096774,0.612903226,0.348611111,0.1,0.55,-0.172681704,-0.071428571,-0.3,0.107142857,-0.135714286
4,2.708050201,5.030437921,0.640522876,0.581699346,0.470588235,6.626717749,0.1125,-0.0125,0,0.006535948,0,1,0,0,0,-0.05,-0.05,-0.05,0.25,0
5,2.995732274,5.365976015,0.58411215,0.514018692,0.392523364,6.837332815,0.520833333,0.144035948,0.03271028,0.014018692,0.7,0.3,0.507142857,0.2,0.8,-0.36712963,-0.3125,-0.4,0.6,0.5
7,2.708050201,6.728628613,0.4784689,0.572966507,0.392344498,8.277157772,0.382505659,0.077045737,0.052631579,0.025119617,0.676923077,0.323076923,0.280274498,0.033333333,0.8,-0.205876795,-0.05,-0.75,0.218181818,0.145454545
9,2.833213344,7.465082736,0.367124857,0.584765178,0.315578465,9.003685138,0.332041847,0.040680014,0.024054983,0.010882016,0.68852459,0.31147541,0.280911152,0.1,0.7,-0.30877193,-0.1,-0.5,0.454545455,0.136363636
10,2.772588722,7.319202459,0.37972167,0.590457256,0.326706428,8.934191535,0.389101062,0.060102312,0.026507621,0.01325381,0.666666667,0.333333333,0.266164773,0.05,0.6,-0.245,-0.025,-0.5,0.1,0.1
11,2.302585093,6.255750042,0.49328215,0.585412668,0.387715931,7.816819966,0.375248687,0.068656167,0.049904031,0.021113244,0.702702703,0.297297297,0.271911422,0.033333333,0.9,-0.374350649,-0.1,-1,0.3,0.2
12,2.772588722,6.120297419,0.582417582,0.602197802,0.472527473,7.753623547,0.445331466,-0.102334267,0.026373626,0.041758242,0.387096774,0.612903226,0.360912698,0.1,0.8,-0.534210526,-0.083333333,-0.8,0.45,-0.325
13,2.302585093,5.568344504,0.580152672,0.557251908,0.400763359,7.184629153,0.527422723,0.051900585,0.026717557,0.019083969,0.583333333,0.416666667,0.341666667,0.1,0.7,-0.281111111,-0.05,-0.4,0,0
